,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_Vola(22)_1d,stat_market_index_change(t_1)_ratio_1d,stat_vix_change(t_1)_ratio_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_ATR_1d,stat_ATR,duration,budget,budget_after_which_trade
0,NVDA,US,2019-02-12 09:30:00-05:00,2019-02-12 09:30:00-05:00,36.72178147469733,1,US-NVDA-20190212-093000,2019-02-13 09:30:00-05:00,37.814,1,Take Profit at Close,True,1,0.029743070228094703,24.68459696339828,0,4538.632386744078,166666.6667,True,4932.4938,,0.0007091030986317,0.015903307617898,-0.0051000619783067,-0.0039235805075867,0.0083577066349918,,,1,1004932.4938,US-NVDA-20190212-093000
1,GOOG,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,54.83378797245026,-1,US-GOOG-20190211-093000,2019-02-15 09:30:00-05:00,56.5181,0,Stop Loss at Open,True,0,-0.03071668199169413,16.971501548466488,0,3039.4884771363436,166666.6667,True,-5136.4185,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,4,999796.0753,US-GOOG-20190211-093000
2,NVDA,US,2019-02-15 09:30:00-05:00,2019-02-15 09:30:00-05:00,40.43118018242193,1,US-NVDA-20190215-093000,2019-02-15 09:30:00-05:00,39.0197,0,Stop loss at daily close,True,0,-0.03491068467587288,22.653401449470486,0,4142.563937312048,167488.749,True,-5869.8003,,-0.0026516415551012,0.036421706627348,-0.00076289286142,0.005697630800822,0.0014064344872262,,,0,993926.275,US-NVDA-20190215-093000
3,MSFT,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,102.10721266152018,1,US-MSFT-20190213-093000,2019-02-22 09:30:00-05:00,105.1441,1,Take Profit at Close,True,1,0.029742143177945032,9.731368867231359,0,1632.2712407446757,166666.6667,True,4947.2925,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,9,998873.5675,US-MSFT-20190213-093000
4,NVDA,US,2019-02-19 09:30:00-05:00,2019-02-19 09:30:00-05:00,38.932534790931136,1,US-NVDA-20190219-093000,2019-02-25 09:30:00-05:00,40.3142,1,Take Profit at Open,True,1,0.03548870415164197,23.358613854796484,0,4280.909722292806,166666.6667,True,5891.4254,,0.0108787526085869,-0.0807644587792192,0.0063367891650625,0.0015600345376181,0.0156234927463398,,,6,1004764.9929,US-NVDA-20190219-093000
5,AMZN,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,80.0690158519745,1,US-AMZN-20190211-093000,2019-03-01 09:30:00-05:00,82.7358,1,Take Profit at Open,True,1,0.033306068766420796,12.042844260483138,0,2081.5375951181995,166666.6667,True,5538.9686,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,18,1010303.9615,US-AMZN-20190211-093000
6,GOOG,US,2019-02-19 09:30:00-05:00,2019-02-19 09:30:00-05:00,55.486125,-1,US-GOOG-20190219-093000,2019-03-04 09:30:00-05:00,57.3638,0,Stop Loss at Open,True,0,-0.033840442092505044,16.78764736564855,0,3003.7539420891258,166666.6667,True,-5656.8613,,0.0108787526085869,-0.0807644587792192,0.0063367891650625,0.0015600345376181,0.0156234927463398,,,13,1004647.1002,US-GOOG-20190219-093000
7,AMZN,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,85.16878595924378,1,US-AMZN-20190305-093000,2019-03-07 09:30:00-05:00,81.2772,0,Stop loss at daily close,True,0,-0.045692631583430614,11.45456021137135,0,1965.9923701013313,167441.1834,True,-7662.2829,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,1.399990989119801,1.399990989119801,2,1002512.559,US-AMZN-20190305-093000
8,NVDA,US,2019-02-27 09:30:00-05:00,2019-02-27 09:30:00-05:00,38.816350730368434,-1,US-NVDA-20190227-093000,2019-03-07 09:30:00-05:00,37.5296,1,Take Profit at Open,True,1,0.033149708979770924,23.536157092586684,0,4314.182786353097,167460.8321,True,5527.7417,,-0.0007904570968998,0.0215488004447139,-0.0006034005682129,0.0049499532642827,-0.0071311722025653,,,8,1010174.8419,US-NVDA-20190227-093000
9,AAPL,US,2019-02-11 09:30:00-05:00,2019-02-11 09:30:00-05:00,41.20963979477365,-1,US-AAPL-20190211-093000,2019-03-11 09:30:00-04:00,43.1224,0,Stop loss at daily close,True,0,-0.04641535851203755,22.141571509677217,0,4044.361161531043,166666.6667,True,-7758.0347,,0.000676201086956,-0.0397068136152294,0.0032838908489685,0.0042684495484934,0.0005047785731955,,,27,994754.5243,US-AAPL-20190211-093000
