Date,PortfolioValue,Transactions,open_positions_at_the_end,long_positions_values,short_positions_values,net_exposure,MarketIndexClose
2019-02-07 09:30:00-05:00,1000000.0,,,0.0,0.0,,2706.050048828125
2019-02-08 09:30:00-05:00,1003241.9431446609,"US-MSFT-20190208-093000 opened. Invested: 166666.6667, US-AMZN-20190208-093000 opened. Invested: 166666.6667, US-NVDA-20190208-093000 opened. Invested: 166666.6667, US-GOOG-20190208-093000 opened. Invested: 166666.6667",US-MSFT-20190208-093000 | US-AMZN-20190208-093000 | US-NVDA-20190208-093000 | US-GOOG-20190208-093000,505327.74790747,164580.86203719076,50.86468225843931,2707.8798828125
2019-02-11 09:30:00-05:00,1002216.6083475135,,US-MSFT-20190208-093000 | US-AMZN-20190208-093000 | US-NVDA-20190208-093000 | US-GOOG-20190208-093000,503631.6645957729,165251.6105517405,50.58880474615053,2709.800048828125
2019-02-12 09:30:00-05:00,1009966.8442252523,"US-AAPL-20190212-093000 opened. Invested: 166666.6667, US-AMZN-20190208-093000 closed., US-NVDA-20190208-093000 closed., US-GOOG-20190208-093000 closed.",US-MSFT-20190208-093000 | US-AAPL-20190212-093000,0.0,328483.3255252521,-100.0,2744.72998046875
2019-02-13 09:30:00-05:00,1010078.9613462853,"US-AMZN-20190213-093000 opened. Invested: 169136.142, US-NVDA-20190213-093000 opened. Invested: 169136.142, US-GOOG-20190213-093000 opened. Invested: 169136.142, US-MSFT-20190208-093000 closed.",US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-NVDA-20190213-093000 | US-GOOG-20190213-093000,338038.86862380867,336359.46842247655,0.2490219962118404,2753.030029296875
2019-02-14 09:30:00-05:00,1012335.3740646051,US-MSFT-20190214-093000 opened. Invested: 168292.6195,US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-NVDA-20190213-093000 | US-GOOG-20190213-093000 | US-MSFT-20190214-093000,340097.0469037043,504850.3223609007,-19.498643519132848,2745.72998046875
2019-02-15 09:30:00-05:00,1020197.5553222566,US-NVDA-20190213-093000 closed.,US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-GOOG-20190213-093000 | US-MSFT-20190214-093000,167389.38315869594,504642.63356356055,-50.18410462789716,2775.60009765625
2019-02-19 09:30:00-05:00,1018498.54079972,,US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-GOOG-20190213-093000 | US-MSFT-20190214-093000,168127.39794128726,502205.60425843264,-49.83764863446328,2779.760009765625
2019-02-20 09:30:00-05:00,1018158.3969936261,,US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-GOOG-20190213-093000 | US-MSFT-20190214-093000,167411.928290734,502580.9301028919,-50.02575738131877,2784.699951171875
2019-02-21 09:30:00-05:00,1016684.790243572,"US-NVDA-20190221-093000 opened. Invested: 170232.8515, US-MSFT-20190214-093000 closed.",US-AAPL-20190212-093000 | US-AMZN-20190213-093000 | US-GOOG-20190213-093000 | US-NVDA-20190221-093000,164882.26356194072,511321.1961816312,-51.232942929790106,2774.8798828125
