,symbol,market,opening_time,exact_opening_time,opening_price,trade_direction,id,closing_time,closing_price,number_of_take_profit_touches,reason_for_closing,is_closed,is_successful,PnL_ratio,fees,taxes,n_shares,invested_budget,is_analyzed,gain,stat_Vola(22)_1d,stat_market_index_change(t_1)_ratio_1d,stat_vix_change(t_1)_ratio_1d,stat_gold_futures_change(t_1)_ratio_1d,stat_treasuries_20years_change(t_1)_ratio_1d,stat_russel_2000_change(t_1)_ratio_1d,stat_ATR_1d,stat_ATR,duration,budget,budget_after_which_trade
0,AMZN,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,79.31982805252076,1,US-AMZN-20190208-093000,2019-02-12 09:30:00-05:00,81.679,1,Take Profit at Close,True,1,0.02974252473060254,12.143997214561969,0,2101.1980332287594,166666.6667,True,4944.9435,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4,1004944.9435,US-AMZN-20190208-093000
1,NVDA,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,35.90547103720963,1,US-NVDA-20190208-093000,2019-02-12 09:30:00-05:00,36.9734,1,Take Profit at Close,True,1,0.029742792169016534,25.215487651610587,0,4641.818137611387,166666.6667,True,4931.9165,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4,1009876.8600000001,US-NVDA-20190208-093000
2,GOOG,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,54.363585973739625,1,US-GOOG-20190208-093000,2019-02-12 09:30:00-05:00,55.9805,1,Take Profit at Close,True,1,0.02974259326898388,17.106759328450966,0,3065.7776472013543,166666.6667,True,4939.9921,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,4,1014816.8521000001,US-GOOG-20190208-093000
3,MSFT,US,2019-02-08 09:30:00-05:00,2019-02-08 09:30:00-05:00,99.10367528677514,-1,US-MSFT-20190208-093000,2019-02-13 09:30:00-05:00,102.1072,0,Stop Loss at Open,True,0,-0.030306895324856507,9.98588832228899,0,1681.7405225828938,166666.6667,True,-5061.1351,,-0.0093571401439401,0.0643693574399215,-7.634638101372548e-05,0.0066100356665625,-0.0081619573451102,,,5,1009755.7170000002,US-MSFT-20190208-093000
4,NVDA,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,37.8035872761712,1,US-NVDA-20190213-093000,2019-02-15 09:30:00-05:00,40.411,1,Take Profit at Open,True,1,0.06897262698326877,24.372212805892254,0,4474.076515042226,169136.142,True,11641.3918,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,2,1021397.1088000002,US-NVDA-20190213-093000
5,MSFT,US,2019-02-14 09:30:00-05:00,2019-02-14 09:30:00-05:00,100.92644356577003,-1,US-MSFT-20190214-093000,2019-02-21 09:30:00-05:00,104.3652,0,Stop loss at daily close,True,0,-0.03407190734893043,9.92551502313383,0,1667.4779527956907,168292.6195,True,-5743.9761,,0.0030239946687606,0.0142578942970401,0.0012221950167488,-0.0037837441810818,0.0030619354695353,,,7,1015653.1327000002,US-MSFT-20190214-093000
6,AAPL,US,2019-02-12 09:30:00-05:00,2019-02-12 09:30:00-05:00,40.98076325855462,-1,US-AAPL-20190212-093000,2019-03-04 09:30:00-05:00,42.3487,0,Stop Loss at Open,True,0,-0.03337997227662251,22.257785002823105,0,4066.948818119165,166666.6667,True,-5585.5865,,0.0007091030986317,0.015903307617898,-0.0051000619783067,-0.0039235805075867,0.0083577066349918,,,20,1010067.5462000002,US-AAPL-20190212-093000
7,AMZN,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,82.32941097450257,-1,US-AMZN-20190213-093000,2019-03-04 09:30:00-05:00,84.8297,0,Stop loss at daily close,True,0,-0.03036932969521399,11.922889652916764,0,2054.38299648528,169136.142,True,-5148.4741,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,19,1004919.0721000002,US-AMZN-20190213-093000
8,GOOG,US,2019-02-13 09:30:00-05:00,2019-02-13 09:30:00-05:00,56.26356264972687,1,US-GOOG-20190213-093000,2019-03-05 09:30:00-05:00,57.937,1,Take Profit at Close,True,1,0.02974282593321078,16.819679051275735,0,3006.1399252236606,169136.142,True,5013.7672,,0.0128902247439735,-0.0338133971711882,0.0016832067114576,-0.0025438919713195,0.0126729780823442,,,20,1009932.8393000002,US-GOOG-20190213-093000
9,NVDA,US,2019-02-21 09:30:00-05:00,2019-02-21 09:30:00-05:00,39.446264066039724,-1,US-NVDA-20190221-093000,2019-03-06 09:30:00-05:00,38.2724,1,Take Profit at Close,True,1,0.029758561268932324,23.56543624368626,0,4315.563349210158,170232.8515,True,5042.3193,,0.0017771107537685,-0.0577956754074634,0.0023879361991543,-0.0028619023635493,0.0045666564687489,,,13,1014975.1586000002,US-NVDA-20190221-093000
10,AMZN,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,85.16878595924378,1,US-AMZN-20190305-093000,2019-03-07 09:30:00-05:00,81.2772,0,Stop loss at daily close,True,0,-0.045692631583430614,11.570511408596717,0,1985.8935418069423,169136.142,True,-7739.8459,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,1.399990989119801,1.399990989119801,2,1007235.3127000002,US-AMZN-20190305-093000
11,AAPL,US,2019-03-05 09:30:00-05:00,2019-03-05 09:30:00-05:00,42.38774532264397,-1,US-AAPL-20190305-093000,2019-03-08 09:30:00-05:00,41.0543,1,Take Profit at Open,True,1,0.03145827437845897,21.882736182952677,0,3990.213225841142,169136.142,True,5298.8484,,-0.003880558492514,0.0781135183091417,-0.0089478365994172,0.007837315003101,-0.0089328861322907,0.5611287457847511,0.56112874578475,3,1012534.1611000003,US-AAPL-20190305-093000
12,GOOG,US,2019-03-06 09:30:00-05:00,2019-03-06 09:30:00-05:00,58.10996914958954,-1,US-GOOG-20190306-093000,2019-03-08 09:30:00-05:00,56.3506,1,Take Profit at Open,True,1,0.03027654592382391,16.32823820809595,0,2910.621782720301,169136.142,True,5104.5299,,-0.0011315328231061,0.0075187734666295,-0.0021793654434236,0.0020906399550693,-0.0045447064792479,0.9636149776476606,0.9636149776476587,2,1017638.6910000002,US-GOOG-20190306-093000
13,NVDA,US,2019-03-07 09:30:00-05:00,2019-03-07 09:30:00-05:00,37.52959280732494,1,US-NVDA-20190307-093000,2019-03-08 09:30:00-05:00,36.1603,0,Stop Loss at Open,True,0,-0.03648568249474009,24.54409801622252,0,4507.443693881928,169162.5264,True,-6196.5543,,-0.0065240986535923,0.0678426062094939,0.0022621095273498,0.0036715514608209,-0.0200602458872841,1.1572338226614742,1.1572338226614756,1,1011442.1367000003,US-NVDA-20190307-093000
14,NVDA,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,37.63246774750765,-1,US-NVDA-20190311-093000,2019-03-11 09:30:00-04:00,40.0233,0,Stop loss at daily close,True,0,-0.06353110480379523,24.49705430950702,0,4498.124418407584,169275.5221,True,-10778.758,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,1.1939540010542269,1.1939540010542278,0,1000663.3787000002,US-NVDA-20190311-093000
15,AAPL,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,42.30047203449958,1,US-AAPL-20190311-093000,2019-03-12 09:30:00-04:00,43.5586,1,Take Profit at Close,True,1,0.029742646003437317,21.943160264433956,0,4001.74073617764,169275.5221,True,5012.7588,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,0.5626562193775766,0.5626562193775758,1,1010701.1014000002,US-AAPL-20190311-093000
16,GOOG,US,2019-03-11 09:30:00-04:00,2019-03-11 09:30:00-04:00,57.236805472373966,1,US-GOOG-20190311-093000,2019-03-12 09:30:00-04:00,58.9392,1,Take Profit at Close,True,1,0.02974300388668118,16.570332226169583,0,2957.459290450842,169275.5221,True,5018.1922,,-0.0021316888487414,-0.032549783638375,0.0102819369604512,0.0042129209932457,-0.001148572812554,0.9715528021500204,0.9715528021500182,1,1015719.2936000002,US-GOOG-20190311-093000
17,MSFT,US,2019-02-22 09:30:00-05:00,2019-02-22 09:30:00-05:00,104.97569917452891,1,US-MSFT-20190222-093000,2019-03-12 09:30:00-04:00,108.0979,1,Take Profit at Close,True,1,0.02974212936920021,9.65062485452547,0,1612.5210257969813,169275.5221,True,5024.9639,,-0.0035264367908802,0.0313837065632653,-0.0147398556602438,-0.0089391538970298,-0.0038630206362465,,,17,1005688.3426000002,US-MSFT-20190222-093000
18,NVDA,US,2019-03-13 09:30:00-04:00,2019-03-13 09:30:00-04:00,40.720724487082606,-1,US-NVDA-20190313-093000,2019-03-14 09:30:00-04:00,41.973,0,Stop Loss at Open,True,0,-0.030752780769277295,22.743383701161626,0,4157.257786192736,169286.5489,True,-5228.7755,0.3266923768765487,0.0029533182046204,-0.0390788184873593,0.0058193666324108,0.0070124699453282,0.000613314891328,1.3574679280557438,1.3574679280557447,1,1010490.5181000002,US-NVDA-20190313-093000
